#,Year,Month,Constituency,CountyBoroughUniv,Franchise,ByElectionGeneral,ByElectionCause,Contested,ElectionCode,PollBookCode,Notes,Latitude,Longitude
388,1780,Sept,Amersham,B,Scot and Lot,G,,N,Amersham_1780a,,,,
389,1784,Mar,Amersham,B,Scot and Lot,G,,N,Amersham_1784a,,,,
390,1790,June,Amersham,B,Scot and Lot,G,,N,Amersham_1790a,,,,
391,1795,June,Amersham,B,Scot and Lot,B,Deceased,N,Amersham_1795a,,,,
392,1796,May,Amersham,B,Scot and Lot,G,,N,Amersham_1796a,,,,
393,1802,July,Amersham,B,Scot and Lot,G,,N,Amersham_1802a,,,,
394,1805,Jan,Amersham,B,Scot and Lot,B,Vacated seat,N,Amersham_1805a,,,,
395,1806,Oct,Amersham,B,Scot and Lot,G,,N,Amersham_1806a,,,,
396,1807,May,Amersham,B,Scot and Lot,G,,N,Amersham_1807a,,,,
397,1810,Nov,Amersham,B,Scot and Lot,B,Deceased,N,Amersham_1810a,,,,
398,1812,Oct,Amersham,B,Scot and Lot,G,,N,Amersham_1812a,,,,
399,1818,June,Amersham,B,Scot and Lot,G,,N,Amersham_1818a,,,,
400,1820,Mar,Amersham,B,Scot and Lot,G,,N,Amersham_1820a,,,,
401,1826,June,Amersham,B,Scot and Lot,G,,N,Amersham_1826a,,,,
402,1830,July,Amersham,B,Scot and Lot,G,,N,Amersham_1830a,,,,
403,1831,Apr,Amersham,B,Scot and Lot,G,,N,Amersham_1831a,,,,
3921,1695,Oct,Andover,B,Corporation,G,,N,Andover_1695a,,,,
3922,1698,July,Andover,B,Corporation,G,,N,Andover_1698a,,,,
3923,1701,Jan,Andover,B,Corporation,G,,Y,Andover_1701a,,,,
3924,1701,Nov,Andover,B,Corporation,G,,Y,Andover_1701b,,,,
3925,1702,July,Andover,B,Corporation,G,,Y,Andover_1702a,,,,
3926,1705,May,Andover,B,Corporation,G,,N,Andover_1705a,,,,
3927,1708,May,Andover,B,Corporation,G,,N,Andover_1708a,,,,
3928,1710,Oct,Andover,B,Corporation,G,,N,Andover_1710a,,,,
3929,1710,Dec,Andover,B,Corporation,B,Re-elected after appointment to office,N,Andover_1710b,,,,
3930,1713,Aug,Andover,B,Corporation,G,,Y,Andover_1713a,,,,
3931,1714,Mar,Andover,B,Corporation,B,Deceased,N,Andover_1714a,,,,
3932,1715,Jan,Andover,B,Corporation,G,,N,Andover_1715a,,,,
3933,1715,Apr,Andover,B,Corporation,B,Chose to sit for another constituency,N,Andover_1715b,,,,
3934,1716,Apr,Andover,B,Corporation,B,Re-elected after appointment to office,N,Andover_1716a,,,,
3935,1722,Mar,Andover,B,Corporation,G,,N,Andover_1722a,,,,
3936,1727,Aug,Andover,B,Corporation,G,,Y,Andover_1727a,Andover_1727a/1,,,
3937,1730,Jan,Andover,B,Corporation,B,Called to the Upper House,N,Andover_1730a,,,,
